source,target,result
예엌허늬 볉롧 앉 시해원요.,s에어컨이 별로 안 시원해요.,s 방 어 컨 이   별 로   릿   시 원 해 요 .
당묜과 츼즈가 부터의써 머끠 흼드러요.,s당면과 치즈가 붙어있어 먹기 힘들어요.,s 줉 면 과   풂 즈 가   붙 어 있 어   먹 기   힘 들 어 요 .
쌈썽뵤단 에플위 좋타.,s삼성보단 애플이 좋다.,s 왔 성 보 단   쉿 플 이   좋 다 .
야위푠눈 념뮤 좋따.,s아이폰은 너무 좋다.,s 안 이 폰 은   너 무   좋 다 .
활쟝쉬뤼 캐끝햐쥣는 안댜.,s화장실이 깨끗하지는 않다.,s   장 실 이   깨 끗 하 니 는   않 다 .
주의늬 불칀절햬요.,s주인이 불친절해요.,s 에 인 이   리 친 절 해 요 .
표장동 념 콤콤햐게 헤줏섯선 께찐 컷업입 잚 왔얼오,s포장도 넘 꼼꼼하게 해주셔서 깨진 것없이 잘 왔어요,s 방 장 도   넘   꼼 꼼 하 게   해 주 셔 서   깨 진   것 없 이   보   입 어 요
"팻숑 꺌꿈, 젝풂 포쟝됴 칼끎, 겉뷰떠 쇽꺄직 및움질깝닛닿.","s배송 깔끔, 제품 포장도 깔끔, 겉부터 속까지 믿음직합니다.","비 끔 ,   제 품   포 장 도   깔 끔 ,   겉 부 터   속 까 지   믿 음 직 합 니 다 ."
"샀쥔엣석 뽀읽눈 겻보댜 널였곶, 횻쓰뜸닒인 썸세항계 짤 쨍거줏셧써욕.","s사진에서 보이는 것보다 넓었고, 호스트님이 섬세하게 잘 챙겨주셨어요.","  것 보 다   넓 었 고 ,   호 스   님 이 들 호 세 하 게   재   챙 겨 주 셨 어 요 ."
슈처 포함잎랑꼬 핫셧눈데 숫까락위 엎네요... 줆뮨한씰 때 쭘의항셉욤.,s수저 포함이라고 하셨는데 숟가락이 없네요... 주문하실 때 주의하세요.,비 셨 는 데   숟 가 락 원   없 네 요 . . .   주 문 하 실   때 마 왔 의 하 세 요 .
넹쨩교웨써 요레뙨 엷름이 잇넬욥... 일렇궤 냉쟝코를 콴릿핫단뉘 샹땋힛 펼론눼오.,s냉장고에서 오래된 얼음이 있네요... 이렇게 냉장고를 관리하다니 상당히 별로네요.,네 요 . . .   이 렇 게   냉 장 고 를   관 리 하 다 니 다 상 당 히   별 로 네 요 .
방엠섬 밤큄벌렘감 남왔습님담... 슥진도 더럽고 위생 상태가 불량합니다.. 놀랍습니다.,s방에서 바퀴벌레가 나왔습니다... 수건도 더럽고 위생 상태가 불량합니다.. 놀랍습니다.,  수 건 도   더 럽 고   도 생   오 태 가   들 량 합 니 다 ! . . 놀 랍 습 니 다 .
군두만가 젅혋 바하삭지 않곫 밃릷 튀교 놓읁 거 줇싡 건즤 많읿 눜눜하녜요.,s군만두가 전혀 바삭하지 않고 미리 튀겨 놓은 거 주신 건지 많이 눅눅하네요.,  않 고   미 리   튀 겨   놓 은   거   주 신   롮 지   상 이   줇 눅 하 네 요 .
핬 큷릷슯핇갋 뜨겁단 뜨싄 줉 앑았늕덻 맯웗섧 하싄 줉읁 몰랐녜요..,s핫 크리스피가 뜨겁단 뜻인 줄 알았는데 매워서 핫인 줄은 몰랐네요..,기 겁 단   뜻 인   줄   알 았 는 데   매 워 서   비 인   줄 은   몰 랐 네 요 . .
곫긻 잢낿갋 얾첳 싦핿욟. 잢낿 믽갊핝 동섕은 아예 잆돏 몼 댋넯욯,s고기 잡내가 엄청 심해요. 잡내 민감한 동생은 아예 입도 못 대네용,깔 청   심 해 요 .   잡 내   민 감 한   곱 생 은   아 예 썼 입 도   까   대 네 용
옯랝맍엛 머거떠늬 픠자됴 픸흘됴 긻댋 의하녜요.,s오랜만에 먹었더니 피자도 피클도 기대 이하네요.,s 쓿 랜 만 에   다 기 더 니   피 자 도   피 클 도   기 대   이 하 네 요 .
넓묿 흼드러요 끈끈적끈적끈적적 흼드러요,s너무 힘들어요 끈적끈적끈적끈적 힘들어요,s 포 무   힘 들 어 요   안 적 끈 적 끈 적 끈 적   힘 들 어 요
